"Title:Nome","Lookup:Ano de admissao","Lookup:Curso","Lookup:ADM_CODIGO_CHR","Lookup:SRE_CODIGO_CHR"
136081,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137563,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137565,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137567,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137570,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137572,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137573,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137574,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137575,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138171,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138172,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138173,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138174,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138175,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138176,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138177,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138178,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138179,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138180,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138181,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138182,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138183,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138184,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138185,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
141440,"20082","SISTEMAS DE INFORMACAO","VT","N"
141441,"20082","SISTEMAS DE INFORMACAO","VT","E"
141442,"20082","SISTEMAS DE INFORMACAO","VT","E"
141443,"20082","SISTEMAS DE INFORMACAO","VT","E"
141444,"20082","SISTEMAS DE INFORMACAO","VT","N"
141445,"20082","SISTEMAS DE INFORMACAO","VT","N"
141446,"20082","SISTEMAS DE INFORMACAO","VT","N"
141447,"20082","SISTEMAS DE INFORMACAO","VT","E"
141448,"20082","SISTEMAS DE INFORMACAO","VT","N"
141449,"20082","SISTEMAS DE INFORMACAO","VT","N"
141450,"20082","SISTEMAS DE INFORMACAO","VT","E"
141451,"20082","SISTEMAS DE INFORMACAO","VT","N"
141452,"20082","SISTEMAS DE INFORMACAO","VT","N"
141453,"20082","SISTEMAS DE INFORMACAO","VT","E"
141454,"20082","SISTEMAS DE INFORMACAO","VT","E"
141455,"20082","SISTEMAS DE INFORMACAO","VT","N"
141456,"20082","SISTEMAS DE INFORMACAO","VT","E"
141457,"20082","SISTEMAS DE INFORMACAO","VT","E"
140539,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144310,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144312,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
146995,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147181,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147190,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
149908,"20082","SISTEMAS DE INFORMACAO","TE","E"
152628,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
144683,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147310,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147312,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","N"
153547,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
153961,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","N"
154407,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
155653,"20082","SISTEMAS DE INFORMACAO","VT","N"
155949,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","N"
155995,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","E"
158611,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158613,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158766,"20092","SISTEMAS DE INFORMACAO","VT","N"
158864,"20092","SISTEMAS DE INFORMACAO","VT","E"
156671,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","E"
157892,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158990,"20092","SISTEMAS DE INFORMACAO","VT","N"
157070,"20092","SISTEMAS DE INFORMACAO","VT","N"
157091,"20092","SISTEMAS DE INFORMACAO","VT","N"
158068,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159214,"20092","SISTEMAS DE INFORMACAO","VT","N"
159354,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157292,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157302,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157324,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157465,"20092","SISTEMAS DE INFORMACAO","VT","N"
157483,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157490,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158381,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
158486,"20092","SISTEMAS DE INFORMACAO","VT","N"
159469,"20092","SISTEMAS DE INFORMACAO","VT","N"
159486,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159497,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159572,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
159604,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
157519,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157556,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157563,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
157599,"20092","SISTEMAS DE INFORMACAO","VT","N"
157633,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157676,"20092","SISTEMAS DE INFORMACAO","VT","N"
144887,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
147561,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147562,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147612,"20082","SISTEMAS DE INFORMACAO","VT","N"
147703,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147704,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147735,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147736,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145152,"20082","SISTEMAS DE INFORMACAO","VT","E"
145153,"20082","SISTEMAS DE INFORMACAO","VT","E"
145154,"20082","SISTEMAS DE INFORMACAO","VT","E"
145155,"20082","SISTEMAS DE INFORMACAO","VT","E"
145156,"20082","SISTEMAS DE INFORMACAO","VT","N"
145157,"20082","SISTEMAS DE INFORMACAO","VT","N"
145158,"20082","SISTEMAS DE INFORMACAO","VT","E"
145159,"20082","SISTEMAS DE INFORMACAO","VT","E"
145160,"20082","SISTEMAS DE INFORMACAO","VT","E"
145161,"20082","SISTEMAS DE INFORMACAO","VT","E"
145162,"20082","SISTEMAS DE INFORMACAO","VT","E"
145163,"20082","SISTEMAS DE INFORMACAO","VT","N"
145164,"20082","SISTEMAS DE INFORMACAO","VT","N"
145165,"20082","SISTEMAS DE INFORMACAO","VT","N"
145166,"20082","SISTEMAS DE INFORMACAO","VT","E"
145167,"20082","SISTEMAS DE INFORMACAO","VT","N"
145168,"20082","SISTEMAS DE INFORMACAO","VT","E"
145169,"20082","SISTEMAS DE INFORMACAO","VT","N"
145170,"20082","SISTEMAS DE INFORMACAO","VT","N"
145171,"20082","SISTEMAS DE INFORMACAO","VT","N"
145222,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147907,"20081","SISTEMAS DE INFORMACAO","NT","E"
147908,"20081","SISTEMAS DE INFORMACAO","NT","E"
147909,"20081","SISTEMAS DE INFORMACAO","TC","E"
147910,"20081","SISTEMAS DE INFORMACAO","NT","E"
147911,"20081","SISTEMAS DE INFORMACAO","NT","E"
147912,"20081","SISTEMAS DE INFORMACAO","TC","N"
142328,"20082","SISTEMAS DE INFORMACAO","TE","E"
142513,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
145451,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145454,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145460,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145464,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145777,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
145779,"20081","SISTEMAS DE INFORMACAO","VT","N"
142888,"20082","SISTEMAS DE INFORMACAO","VT","E"
143136,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
145894,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145895,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145896,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
145897,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
148635,"20081","SISTEMAS DE INFORMACAO","NT","E"
148636,"20081","SISTEMAS DE INFORMACAO","NT","E"
148705,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
148709,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
143145,"20081","CIÊNCIA DA COMPUTAÇÃO","TE","E"
143151,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143152,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143153,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143154,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143155,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143156,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143157,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143158,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143159,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143160,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143161,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143162,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143163,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143164,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143165,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143166,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143167,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143168,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143169,"20082","SISTEMAS DE INFORMACAO","VT","N"
143170,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143171,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143172,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143173,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143174,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143175,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143176,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143177,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143178,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143179,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143180,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143399,"20081","SISTEMAS DE INFORMACAO","VT","T"
146191,"20081","SISTEMAS DE INFORMACAO","TE","N"
148910,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
148912,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
148913,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
148914,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
149005,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","N"
149008,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","N"
149010,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
151977,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143929,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143930,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143931,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143932,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143933,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143934,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143935,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","T"
143936,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143937,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143938,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143939,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143940,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143941,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143942,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143943,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143944,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143945,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143946,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143947,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143948,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143949,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143950,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143951,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143952,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143953,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143954,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143955,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143956,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143957,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143958,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143959,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143960,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
149435,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
149629,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
149656,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
149663,"20082","SISTEMAS DE INFORMACAO","VT","N"
143961,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
143962,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
143963,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
144113,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144120,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144121,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144125,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144126,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144127,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144128,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144129,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144130,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144131,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
144132,"20081","CIÊNCIA DA COMPUTAÇÃO","VT","N"
144133,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
144134,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162229,"20092","SISTEMAS DE INFORMACAO","VT","E"
162251,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162287,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162334,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
162337,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
162385,"20091","SISTEMAS DE INFORMACAO","VT","N"
162389,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
164903,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
164973,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
164974,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
165010,"20091","CIÊNCIA DA COMPUTAÇÃO","NT","E"
165023,"20091","CIÊNCIA DA COMPUTAÇÃO","TC","N"
165104,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
167851,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
167923,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
167953,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
170567,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
170599,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162515,"20092","SISTEMAS DE INFORMACAO","VT","N"
162561,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
162566,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
162587,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162658,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
162691,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162696,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
162712,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
165152,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
165273,"20091","CIÊNCIA DA COMPUTAÇÃO","NT","E"
168141,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
168143,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
168160,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
168188,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
168256,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
170903,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
171125,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
171234,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
171606,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172021,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
172060,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172234,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172235,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172236,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172237,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172238,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172345,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172540,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172541,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
172765,"20092","CIÊNCIA DA COMPUTAÇÃO","ES","N"
172983,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
173133,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
173135,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
173164,"20102","SISTEMAS DE INFORMACAO","VT","E"
173165,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
173258,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
173350,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
173500,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
173534,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
173538,"20102","CIÊNCIA DA COMPUTAÇÃO","VT","N"
173773,"20102","SISTEMAS DE INFORMACAO","VT","N"
174448,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
174449,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176558,"20101","SISTEMAS DE INFORMACAO","VT","N"
176596,"20102","SISTEMAS DE INFORMACAO","VT","N"
174778,"20092","CIÊNCIA DA COMPUTAÇÃO","ES","E"
175701,"20101","SISTEMAS DE INFORMACAO","VT","N"
175721,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
175790,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
175844,"20102","CIÊNCIA DA COMPUTAÇÃO","VT","E"
175937,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
175947,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
175949,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
176946,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176947,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176993,"20101","SISTEMAS DE INFORMACAO","VT","N"
176012,"20092","CIÊNCIA DA COMPUTAÇÃO","ES","N"
176015,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176016,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176050,"20101","SISTEMAS DE INFORMACAO","VT","N"
176105,"20102","SISTEMAS DE INFORMACAO","VT","N"
176136,"20092","CIÊNCIA DA COMPUTAÇÃO","ES","N"
177306,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","E"
177332,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","E"
175184,"20131","CIÊNCIA DA COMPUTAÇÃO","ES","N"
175226,"20101","CIÊNCIA DA COMPUTAÇÃO","ES","E"
176242,"20101","CIÊNCIA DA COMPUTAÇÃO","VT","N"
176310,"20102","CIÊNCIA DA COMPUTAÇÃO","VT","N"
176425,"20101","SISTEMAS DE INFORMACAO","VT","N"
177478,"20102","SISTEMAS DE INFORMACAO","VT","N"
177580,"20102","CIÊNCIA DA COMPUTAÇÃO","VT","N"
177602,"20102","CIÊNCIA DA COMPUTAÇÃO","VT","N"
177605,"20101","SISTEMAS DE INFORMACAO","VT","N"
159955,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
159980,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162754,"20092","SISTEMAS DE INFORMACAO","VT","N"
162821,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
162857,"20092","SISTEMAS DE INFORMACAO","VT","N"
162867,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162881,"20092","SISTEMAS DE INFORMACAO","VT","N"
162901,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
162918,"20092","SISTEMAS DE INFORMACAO","VT","N"
165509,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
165523,"20092","SISTEMAS DE INFORMACAO","VT","N"
165554,"20091","CIÊNCIA DA COMPUTAÇÃO","NT","E"
165585,"20091","SISTEMAS DE INFORMACAO","NT","E"
165671,"20092","SISTEMAS DE INFORMACAO","VT","E"
168417,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","N"
168419,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160148,"20092","SISTEMAS DE INFORMACAO","VT","N"
160169,"20092","SISTEMAS DE INFORMACAO","VT","E"
160196,"20092","SISTEMAS DE INFORMACAO","VT","E"
163020,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
163026,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
